Timestamp,Value
2025-03-23T16:33:41.177036,0.14576
2025-03-23T16:33:41.688398,0.14576
2025-03-23T16:33:42.106302,0.14576
2025-03-23T16:33:42.583588,0.14574
2025-03-23T16:33:43.204741,0.14572
2025-03-23T16:33:44.650037,0.14575
2025-03-23T16:33:45.107319,0.14577
2025-03-23T16:33:45.657152,0.14577
2025-03-23T16:33:46.089377,0.14577
2025-03-23T16:33:46.488338,0.14577
2025-03-23T16:33:47.000520,0.14577
2025-03-23T16:33:47.407409,0.14577
2025-03-23T16:33:47.900996,0.14577
2025-03-23T16:33:48.356667,0.14577
2025-03-23T16:33:48.755733,0.14577
2025-03-23T16:33:49.140649,0.14577
2025-03-23T16:33:49.590001,0.14579
2025-03-23T16:33:49.998513,0.14575
2025-03-23T16:33:50.390547,0.14577
2025-03-23T16:33:50.781834,0.14577
2025-03-23T16:33:51.671806,0.14575
2025-03-23T16:33:52.540449,0.14576
2025-03-23T16:33:52.941746,0.14578
2025-03-23T16:33:53.367664,0.14578
2025-03-23T16:33:53.820354,0.14578
2025-03-23T16:33:54.611796,0.14583
2025-03-23T16:33:55.088790,0.14585
2025-03-23T16:33:55.534508,0.14588
2025-03-23T16:34:00.337468,0.14586
2025-03-23T16:34:01.175742,0.14585
2025-03-23T16:34:01.572696,0.14588
2025-03-23T16:34:01.973083,0.14588
2025-03-23T16:34:02.404458,0.14589
2025-03-23T16:34:02.873150,0.14589
2025-03-23T16:34:03.364637,0.14587
2025-03-23T16:34:03.757381,0.14587
2025-03-23T16:34:04.139042,0.14588
2025-03-23T16:34:04.603855,0.14590
2025-03-23T16:34:07.018111,0.14594
2025-03-23T16:34:09.773777,0.14594
2025-03-23T16:34:10.184890,0.14594
2025-03-23T16:34:10.556827,0.14594
2025-03-23T16:34:12.173339,0.14594
2025-03-23T16:34:12.674873,0.14594
2025-03-23T16:34:13.063370,0.14586
2025-03-23T16:34:13.529338,0.14587
2025-03-23T16:34:13.957341,0.14587
2025-03-23T16:34:14.357540,0.14584
2025-03-23T16:34:14.764535,0.14582
2025-03-23T16:34:15.251802,0.14581
2025-03-23T16:34:15.646656,0.14581
2025-03-23T16:34:16.041937,0.14581
2025-03-23T16:34:16.516202,0.14578
2025-03-23T16:34:17.334796,0.14575
2025-03-23T16:34:18.139272,0.14578
2025-03-23T16:34:18.519617,0.14574
2025-03-23T16:34:20.704935,0.14571
2025-03-23T16:34:21.106138,0.14573
2025-03-23T16:34:21.532473,0.14569
2025-03-23T16:34:22.031801,0.14569
2025-03-23T16:34:22.407436,0.14569
2025-03-23T16:34:22.806454,0.14569
2025-03-23T16:34:23.189474,0.14569
2025-03-23T16:34:23.588584,0.14569
2025-03-23T16:34:26.704009,0.14577
2025-03-23T16:34:27.121431,0.14579
2025-03-23T16:34:27.548864,0.14579
2025-03-23T16:34:27.955900,0.14579
2025-03-23T16:34:28.357065,0.14582
2025-03-23T16:34:28.833860,0.14587
2025-03-23T16:34:29.223201,0.14588
2025-03-23T16:34:29.623987,0.14587
2025-03-23T16:34:29.989821,0.14587
2025-03-23T16:34:30.441521,0.14588
2025-03-23T16:34:30.807230,0.14588
2025-03-23T16:34:31.189458,0.14588
2025-03-23T16:34:31.702621,0.14586
2025-03-23T16:34:32.089528,0.14586
2025-03-23T16:34:32.499070,0.14585
2025-03-23T16:34:32.950151,0.14583
2025-03-23T16:34:33.706730,0.14582
2025-03-23T16:34:34.139922,0.14581
2025-03-23T16:34:34.576057,0.14585
2025-03-23T16:34:34.941589,0.14585
2025-03-23T16:34:35.317218,0.14585
2025-03-23T16:34:35.800356,0.14585
